name,provisional designation astronomy,discovery date,discovery site,discoverer
152224 -,2005 SJ,"September 20, 2005",Reedy Creek Observatory,John Broughton
152225 -,2005 ST2,"September 23, 2005",Catalina Sky Survey,Catalina Sky Survey
152226 Saracole,2005 SD3,"September 23, 2005",Catalina,CSS
152227 Argoli,2005 SO4,"September 24, 2005",List of observatory codes,Vincenzo Silvano Casulli
152228 -,2005 SK9,"September 23, 2005",Kitt Peak National Observatory,Spacewatch
152229 -,2005 SU12,"September 24, 2005",Kitt Peak,Spacewatch
152230 -,2005 SU13,"September 24, 2005",Kitt Peak,Spacewatch
152231 -,2005 SF15,"September 26, 2005",Kitt Peak,Spacewatch
152232 -,2005 SV17,"September 26, 2005",Kitt Peak,Spacewatch
152233 Van Till,2005 SL19,"September 25, 2005",Calvin-Rehoboth Robotic Observatory,Calvin-Rehoboth Robotic Observatory
152234 -,2005 SU22,"September 23, 2005",Kitt Peak National Observatory,Spacewatch
152235 -,2005 SK28,"September 23, 2005",Kitt Peak,Spacewatch
152236 -,2005 SQ43,"September 24, 2005",Kitt Peak,Spacewatch
152237 -,2005 SA51,"September 24, 2005",Kitt Peak,Spacewatch
152238 -,2005 SZ63,"September 26, 2005",Kitt Peak,Spacewatch
152239 -,2005 SJ68,"September 27, 2005",Kitt Peak,Spacewatch
152240 -,2005 SR69,"September 27, 2005","Socorro, New Mexico",Lincoln Near-Earth Asteroid Research
152241 -,2005 SR70,"September 28, 2005",Palomar Observatory,Near-Earth Asteroid Tracking
152242 -,2005 SX70,"September 28, 2005",Palomar,NEAT
152243 -,2005 SS76,"September 24, 2005",Kitt Peak National Observatory,Spacewatch
152244 -,2005 SD88,"September 24, 2005",Goodricke-Pigott Observatory,Roy A. Tucker
152245 -,2005 SH89,"September 24, 2005",Kitt Peak National Observatory,Spacewatch
152246 -,2005 SO89,"September 24, 2005",Kitt Peak,Spacewatch
152247 -,2005 SW90,"September 24, 2005",Kitt Peak,Spacewatch
152248 -,2005 SJ91,"September 24, 2005",Kitt Peak,Spacewatch
152249 -,2005 SF97,"September 25, 2005",Palomar Observatory,Near-Earth Asteroid Tracking
152250 -,2005 SN98,"September 25, 2005",Kitt Peak National Observatory,Spacewatch
152251 -,2005 SM100,"September 25, 2005",Kitt Peak,Spacewatch
152252 -,2005 SQ101,"September 25, 2005",Kitt Peak,Spacewatch
152253 -,2005 SQ114,"September 27, 2005",Kitt Peak,Spacewatch
152254 -,2005 SD116,"September 27, 2005",Kitt Peak,Spacewatch
152255 -,2005 SW116,"September 28, 2005",Palomar Observatory,Near-Earth Asteroid Tracking
152256 -,2005 SU128,"September 29, 2005",Anderson Mesa Station,Lowell Observatory Near-Earth-Object Search
152257 -,2005 SJ129,"September 29, 2005",Mount Lemmon Observatory,Mount Lemmon Survey
152258 -,2005 SZ129,"September 29, 2005",Anderson Mesa Station,Lowell Observatory Near-Earth-Object Search
152259 -,2005 ST134,"September 29, 2005",Goodricke-Pigott Observatory,Roy A. Tucker
152260 -,2005 SY141,"September 25, 2005",Kitt Peak National Observatory,Spacewatch
152261 -,2005 SC146,"September 25, 2005",Kitt Peak,Spacewatch
152262 -,2005 SY148,"September 25, 2005",Kitt Peak,Spacewatch
152263 -,2005 SZ162,"September 27, 2005",Kitt Peak,Spacewatch
152264 -,2005 SL166,"September 28, 2005",Palomar Observatory,Near-Earth Asteroid Tracking
152265 -,2005 SU173,"September 29, 2005",Palomar,NEAT
152266 -,2005 SV180,"September 29, 2005",Palomar,NEAT
152267 -,2005 SB191,"September 29, 2005",Anderson Mesa Station,Lowell Observatory Near-Earth-Object Search
152268 -,2005 SV193,"September 29, 2005",Kitt Peak National Observatory,Spacewatch
152269 -,2005 SZ197,"September 30, 2005",Mount Lemmon Observatory,Mount Lemmon Survey
152270 -,2005 SC209,"September 30, 2005","Socorro, New Mexico",Lincoln Near-Earth Asteroid Research
152271 -,2005 SP213,"September 30, 2005",Kitt Peak National Observatory,Spacewatch
152272 -,2005 SK217,"September 30, 2005",Mount Lemmon Observatory,Mount Lemmon Survey
152273 -,2005 SL220,"September 29, 2005",Catalina Sky Survey,Catalina Sky Survey
152274 -,2005 SD231,"September 30, 2005","Socorro, New Mexico",Lincoln Near-Earth Asteroid Research
152275 -,2005 SV231,"September 30, 2005",Mount Lemmon Observatory,Mount Lemmon Survey
152276 -,2005 SF234,"September 29, 2005",Mount Lemmon,Mount Lemmon Survey
152277 -,2005 SO237,"September 29, 2005",Kitt Peak National Observatory,Spacewatch
152278 -,2005 SQ255,"September 22, 2005",Palomar Observatory,Near-Earth Asteroid Tracking
152279 -,2005 SS262,"September 23, 2005",Kitt Peak National Observatory,Spacewatch
152280 -,2005 TE1,"October 1, 2005",Catalina Sky Survey,Catalina Sky Survey
152281 -,2005 TT2,"October 1, 2005",Catalina,CSS
152282 -,2005 TH5,"October 1, 2005",Catalina,CSS
152283 -,2005 TK6,"October 1, 2005",Catalina,CSS
152284 -,2005 TP8,"October 1, 2005",Kitt Peak National Observatory,Spacewatch
152285 -,2005 TJ10,"October 2, 2005",Palomar Observatory,Near-Earth Asteroid Tracking
152286 -,2005 TL10,"October 2, 2005",Palomar,NEAT
152287 -,2005 TM11,"October 1, 2005","Socorro, New Mexico",Lincoln Near-Earth Asteroid Research
152288 -,2005 TS12,"October 1, 2005",Anderson Mesa Station,Lowell Observatory Near-Earth-Object Search
152289 -,2005 TB18,"October 1, 2005","Socorro, New Mexico",Lincoln Near-Earth Asteroid Research
152290 -,2005 TB23,"October 1, 2005",Catalina Sky Survey,Catalina Sky Survey
152291 -,2005 TD24,"October 1, 2005",Mount Lemmon Observatory,Mount Lemmon Survey
152292 -,2005 TH28,"October 1, 2005",Anderson Mesa Station,Lowell Observatory Near-Earth-Object Search
152293 -,2005 TJ28,"October 1, 2005",Anderson Mesa,LONEOS
152294 -,2005 TX38,"October 1, 2005",Mount Lemmon Observatory,Mount Lemmon Survey
152295 -,2005 TX42,"October 4, 2005",Catalina Sky Survey,Catalina Sky Survey
152296 -,2005 TE47,"October 3, 2005",Bergisch Gladbach Observatory,Wolf Bickel
152297 -,2005 TH49,"October 6, 2005",Mount Lemmon Observatory,Mount Lemmon Survey
152298 -,2005 TV49,"October 9, 2005",List of observatory codes,Great Shefford
152299 -,2005 TQ50,"October 11, 2005",Royal Observatory of Belgium,P. De Cat
152300 -,2005 TF51,"October 11, 2005",Uccle,Thierry Pauwels
