year,program,role,network
35th Daytime Emmy Awards,The Bold and the Beautiful,Katie Logan,CBS
36th Daytime Emmy Awards,,,
36th Daytime Emmy Awards,Days of Our Lives,Ava Vitali,NBC
36th Daytime Emmy Awards,All My Children,Annie Lavery,American Broadcasting Company
36th Daytime Emmy Awards,All My Children,Kendall Hart,American Broadcasting Company
36th Daytime Emmy Awards,As the World Turns,Janet Ciccone Snyder,CBS
36th Daytime Emmy Awards,One Life to Live,Jessica Buchanan,CBS
37th Daytime Emmy Awards,,,
37th Daytime Emmy Awards,As the World Turns,Janet Ciccone Snyder,CBS
37th Daytime Emmy Awards,Guiding Light,Beth Raines,CBS
37th Daytime Emmy Awards,General Hospital,List of General Hospital characters (2000s),American Broadcasting Company
37th Daytime Emmy Awards,One Life to Live,Jessica Buchanan,CBS
37th Daytime Emmy Awards,Days of Our Lives,Nicole Walker,NBC
38th Daytime Emmy Awards,,,
38th Daytime Emmy Awards,The Bold and the Beautiful,Katie Logan Spencer,CBS
38th Daytime Emmy Awards,The Young and the Restless,Nina Webster,CBS
38th Daytime Emmy Awards,All My Children,Annie Lavery,American Broadcasting Company
38th Daytime Emmy Awards,General Hospital,Alexis Davis,American Broadcasting Company
38th Daytime Emmy Awards,As the World Turns,Janet Ciccone,CBS
38th Daytime Emmy Awards,One Life to Live,Jessica Buchanan,CBS
39th Daytime Emmy Awards,,,
39th Daytime Emmy Awards,General Hospital,Alexis Davis,American Broadcasting Company
39th Daytime Emmy Awards,All My Children,Annie Lavery,American Broadcasting Company
39th Daytime Emmy Awards,The Young and the Restless,Genevieve Atkinson,CBS
39th Daytime Emmy Awards,The Young and the Restless,Chloe Mitchell,CBS
39th Daytime Emmy Awards,General Hospital,Elizabeth Webber,American Broadcasting Company
40th Daytime Emmy Awards,,,
40th Daytime Emmy Awards,General Hospital,Lulu Spencer,American Broadcasting Company
40th Daytime Emmy Awards,The Young and the Restless,Avery Bailey Clark,CBS
40th Daytime Emmy Awards,The Young and the Restless,Chelsea Lawson,CBS
40th Daytime Emmy Awards,The Bold and the Beautiful,Brooke Logan,CBS
40th Daytime Emmy Awards,Days of Our Lives,Nicole Walker,NBC
