name,provisional designation astronomy,discovery date,discovery site,discoverer
150238 -,1998 YG9,"December 23, 1998",Pistoia Mountains Astronomical Observatory,Luciano Tesi
150239 -,1999 AN11,"January 7, 1999",Kitt Peak National Observatory,Spacewatch
150240 -,1999 CQ10,"February 12, 1999","Socorro, New Mexico",Lincoln Near-Earth Asteroid Research
150241 -,1999 CK39,"February 10, 1999",Socorro,LINEAR
150242 -,1999 CD99,"February 10, 1999",Socorro,LINEAR
150243 -,1999 CH133,"February 7, 1999",Kitt Peak National Observatory,Spacewatch
150244 -,1999 CZ150,"February 9, 1999",Kitt Peak,Spacewatch
150245 -,1999 FY7,"March 20, 1999","Socorro, New Mexico",Lincoln Near-Earth Asteroid Research
150246 -,1999 GV1,"April 6, 1999",Kitt Peak National Observatory,Spacewatch
150247 -,1999 JK30,"May 10, 1999","Socorro, New Mexico",Lincoln Near-Earth Asteroid Research
150248 -,1999 JK59,"May 10, 1999",Socorro,LINEAR
150249 -,1999 JY82,"May 12, 1999",Socorro,LINEAR
150250 -,1999 JC99,"May 12, 1999",Socorro,LINEAR
150251 -,1999 JR99,"May 12, 1999",Socorro,LINEAR
150252 -,1999 LJ5,"June 11, 1999",Socorro,LINEAR
150253 -,1999 LQ8,"June 8, 1999",Socorro,LINEAR
150254 -,1999 LB31,"June 14, 1999",Kitt Peak National Observatory,Spacewatch
150255 -,1999 NH2,"July 12, 1999","Socorro, New Mexico",Lincoln Near-Earth Asteroid Research
150256 -,1999 PN7,"August 3, 1999",Kitt Peak National Observatory,Spacewatch
150257 -,1999 RO7,"September 3, 1999",Kitt Peak,Spacewatch
150258 -,1999 RV18,"September 7, 1999","Socorro, New Mexico",Lincoln Near-Earth Asteroid Research
150259 -,1999 RD30,"September 8, 1999",Socorro,LINEAR
150260 -,1999 RV67,"September 7, 1999",Socorro,LINEAR
150261 -,1999 RC68,"September 7, 1999",Socorro,LINEAR
150262 -,1999 RN101,"September 13, 1999",Kitt Peak National Observatory,Spacewatch
150263 -,1999 RQ108,"September 8, 1999","Socorro, New Mexico",Lincoln Near-Earth Asteroid Research
150264 -,1999 RS108,"September 8, 1999",Socorro,LINEAR
150265 -,1999 RW116,"September 9, 1999",Socorro,LINEAR
150266 -,1999 RZ137,"September 9, 1999",Socorro,LINEAR
150267 -,1999 RP139,"September 9, 1999",Socorro,LINEAR
150268 -,1999 RB162,"September 9, 1999",Socorro,LINEAR
150269 -,1999 RB187,"September 9, 1999",Socorro,LINEAR
150270 -,1999 RV187,"September 14, 1999",Kitt Peak National Observatory,Spacewatch
150271 -,1999 RO202,"September 8, 1999","Socorro, New Mexico",Lincoln Near-Earth Asteroid Research
150272 -,1999 RY204,"September 8, 1999",Socorro,LINEAR
150273 -,1999 RA233,"September 8, 1999",Catalina Sky Survey,Catalina Sky Survey
150274 -,1999 SS,"September 16, 1999",Kitt Peak National Observatory,Spacewatch
150275 -,1999 TR16,"October 14, 1999",Ond-ejov Observatory,Lenka Kotkov-
150276 -,1999 TH38,"October 1, 1999",Catalina Sky Survey,Catalina Sky Survey
150277 -,1999 TJ45,"October 3, 1999",Kitt Peak National Observatory,Spacewatch
150278 -,1999 TP48,"October 4, 1999",Kitt Peak,Spacewatch
150279 -,1999 TG49,"October 4, 1999",Kitt Peak,Spacewatch
150280 -,1999 TO57,"October 6, 1999",Kitt Peak,Spacewatch
150281 -,1999 TT58,"October 6, 1999",Kitt Peak,Spacewatch
150282 -,1999 TK73,"October 10, 1999",Kitt Peak,Spacewatch
150283 -,1999 TL81,"October 12, 1999",Kitt Peak,Spacewatch
150284 -,1999 TV89,"October 2, 1999","Socorro, New Mexico",Lincoln Near-Earth Asteroid Research
150285 -,1999 TV94,"October 2, 1999",Socorro,LINEAR
150286 -,1999 TA96,"October 2, 1999",Socorro,LINEAR
150287 -,1999 TB113,"October 4, 1999",Socorro,LINEAR
150288 -,1999 TS116,"October 4, 1999",Socorro,LINEAR
150289 -,1999 TX143,"October 7, 1999",Socorro,LINEAR
150290 -,1999 TT150,"October 7, 1999",Socorro,LINEAR
150291 -,1999 TH158,"October 7, 1999",Socorro,LINEAR
150292 -,1999 TJ162,"October 9, 1999",Socorro,LINEAR
150293 -,1999 TV167,"October 10, 1999",Socorro,LINEAR
150294 -,1999 TN179,"October 10, 1999",Socorro,LINEAR
150295 -,1999 TJ187,"October 12, 1999",Socorro,LINEAR
150296 -,1999 TR200,"October 13, 1999",Socorro,LINEAR
150297 -,1999 TN212,"October 15, 1999",Socorro,LINEAR
150298 -,1999 TH213,"October 15, 1999",Socorro,LINEAR
150299 -,1999 TU214,"October 15, 1999",Socorro,LINEAR
150300 -,1999 TZ228,"October 3, 1999",Kitt Peak National Observatory,Spacewatch
