year,program,role,network
37th Daytime Emmy Awards,Days of Our Lives,Days of Our Lives characters (1990s),NBC
37th Daytime Emmy Awards,The Young and the Restless,Lily Winters,CBS
37th Daytime Emmy Awards,As the World Turns,Alison Stewart (As the World Turns),CBS
38th Daytime Emmy Awards,,,
38th Daytime Emmy Awards,All My Children,Marissa Chandler,American Broadcasting Company
38th Daytime Emmy Awards,General Hospital,Kristina Corinthos Davis,American Broadcasting Company
38th Daytime Emmy Awards,The Young and the Restless,Jana Hawkes,CBS
39th Daytime Emmy Awards,,,
39th Daytime Emmy Awards,The Young and the Restless,Lily Winters,CBS
39th Daytime Emmy Awards,Days of Our Lives,Melanie Layton,NBC
39th Daytime Emmy Awards,Days of Our Lives,Days of Our Lives characters (1990s),NBC
39th Daytime Emmy Awards,The Bold and the Beautiful,Steffy Forrester,CBS
40th Daytime Emmy Awards,,,
40th Daytime Emmy Awards,General Hospital,Starr Manning,American Broadcasting Company
40th Daytime Emmy Awards,The Young and the Restless,Summer Newman,CBS
40th Daytime Emmy Awards,The Bold and the Beautiful,Steffy Forrester,CBS
40th Daytime Emmy Awards,General Hospital,Kristina Corinthos Davis,American Broadcasting Company
